Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
water damage drying,2,1,260,12,0.00,https://totalcarerestoration.com/,11,1.2,0.00,0.2,94300000,"[18,4,43,43,81,66,66,81,100,100,66,35]",2026-01-06,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Local pack
how to test for mold in walls,1,1,590,48,1.27,https://totalcarerestoration.com/tell-mold-behind-walls/,10,1.09,12.00,0.53,24800000,"[45,36,45,55,36,30,36,55,36,45,30,45]",2025-10-03,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
city of sunrise restoration companies,1,1,260,6,0.00,https://totalcarerestoration.com/sunrise-restoration-services/,9,0.98,0.00,0,5160000,"[100,2,0,0]",2025-12-23,"Local pack, Image, AI overview",commercial,AI overview
restoration flood,1,1,390,42,45.82,https://totalcarerestoration.com/how-long-does-property-restoration-take/,8,0.87,366.00,0.05,31100000,"[100,1,0,68,11,2,31,8,7,13,13,7]",2025-12-04,"Local pack, Video, Video Carousel, People also ask, Related searches, Ads middle",commercial,People also ask
drywall moisture tester,1,1,260,22,0.45,https://totalcarerestoration.com/tell-mold-behind-walls/,8,0.87,3.00,1,3890000,"[16,36,16,24,36,20,8,10,36,13,13,16]",2025-10-13,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
cast iron pipe replacement cost,1,1,140,2,9.28,https://totalcarerestoration.com/cast-iron-pipes/,8,0.87,74.00,0.59,13300000,"[28,81,81,43,21,34,15,28,53,53,34,28]",2026-01-03,"Sitelinks, Video, Popular products, Related searches, AI overview",informational,AI overview
mt sinai flood restoration,5,5,720,2,0.00,https://totalcarerestoration.com/how-long-does-property-restoration-take/,8,0.87,0.00,0,372000,"[20,100]",2025-10-01,"Video, Image, People also ask, AI overview","commercial, informational",People also ask
emergency roof tarping near me,1,1,480,24,19.49,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,7,0.76,136.00,0.4,1690000,"[4,3,2,4,8,13,16,41,100,36,24,13]",2025-12-06,"Local pack, Video, Ads bottom, People also ask, Related searches",transactional,People also ask
city of sunrise restoration companies,3,3,260,6,0.00,https://totalcarerestoration.com/sunrise-restoration-services/,7,0.76,0.00,0,5160000,"[100,2,0,0]",2025-12-23,"Local pack, Image, AI overview",commercial,Organic
cleaner for smoke damage,1,1,210,9,18.03,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,7,0.76,126.00,0.25,35200000,"[23,81,35,81,8,18,15,23,8,11,23,100]",2025-11-27,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums, AI overview",informational,AI overview
drapery smoke damage cleaning,4,4,110,17,0.00,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,7,0.76,0.00,0,1560000,"[29,64,64,64,82,100,64]",2025-12-20,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums",informational,Organic
water damage restoration doral,1,1,50,11,0.00,https://totalcarerestoration.com/,6,0.65,0.00,0,205000,"[5,7,7,3,2,4,2,2,2,10,12,4]",2025-11-27,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
shrink wrap roof cost,1,1,50,0,5.57,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,6,0.65,33.00,0.52,1770000,"[42,7,7,15,11,11,11,19,15,26,26,34]",2025-12-18,"Sitelinks, Video, Ads bottom, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
signs of mold on walls,1,1,210,34,1.28,https://totalcarerestoration.com/tell-mold-behind-walls/,6,0.65,7.00,0.16,52100000,"[29,12,12,19,15,9,15,23,19,100,66,23]",2025-11-26,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
shrink wrap roof,1,1,170,1,6.59,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,5,0.54,32.00,0.8,3730000,"[39,14,11,14,11,14,14,21,17,14,14,11]",2025-12-08,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,People also ask
water damage repair cost calculator,3,0,210,0,9.74,https://totalcarerestoration.com/water-damage-cost-calculator/,5,0.54,48.00,0.47,19600000,"[24,16,20,16,16,13,13,10,24,20,16,20]",2026-01-05,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
home restoration pinecrest,2,2,260,12,0.00,https://totalcarerestoration.com/pinecrest-restoration-services/,4,0.43,0.00,0,2090000,"[54,100,0,0]",2025-12-07,"Knowledge panel, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
studar vent,1,1,390,30,0.48,https://totalcarerestoration.com/exploring-advanced-venting-solutions-for-plumbing-drains-what-you-need-to-know/,4,0.43,1.00,0.98,142000,"[100,0,0,0,0,0,0,0,0,0,0,8]",2025-10-09,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Explore brands",informational,People also ask
local smoke damage indoor air quality testing,2,2,50,0,0.00,https://totalcarerestoration.com/air-quality-testing-after-fire-damage/,4,0.43,0.00,0,18100000,"[71,71,100,14]",2025-12-25,"Video, Ads bottom, Related searches, AI overview",transactional,Organic
how to tell if there is mold in your walls,1,1,140,24,0.98,https://totalcarerestoration.com/tell-mold-behind-walls/,4,0.43,3.00,0.57,49300000,"[43,43,43,43,43,43,35,28,35,35,28,17]",2025-12-05,"Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,AI overview
mold behind shower wall,1,1,260,23,4.74,https://totalcarerestoration.com/tell-mold-behind-walls/,4,0.43,18.00,0.25,6,"[65,81,81,81,81,100,81,65,81,81,81,81]",2025-11-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Things to know
city of sunrise flood restoration,2,2,260,,0.00,https://totalcarerestoration.com/sunrise-restoration-services/,4,0.43,0.00,0,1910000,"[100,2,0,0]",2025-12-23,"Local pack, Related searches, AI overview",transactional,Organic
roof tarping miami,1,1,70,0,0.00,https://totalcarerestoration.com/emergency-roofing-miami,4,0.43,0.00,0.07,333000,"[11,11,11,11,29,23,29,23,64,100,100,100]",2026-01-03,"Local pack, Video, Related searches, AI overview",commercial,AI overview
how do you test for mold behind walls,1,1,70,27,1.22,https://totalcarerestoration.com/tell-mold-behind-walls/,4,0.43,4.00,0.38,35900000,"[42,26,34,19,26,26,26,26,26,19,34,26]",2025-11-26,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
soot and smoke cleaning weston,2,2,40,5,0.00,https://totalcarerestoration.com/weston-restoration-services/,3,0.32,0.00,0,39400,"[100,100,80,80]",2025-12-17,"Video, People also ask, Related searches, AI overview","commercial, informational",Organic
total water damage restoration,2,2,70,7,14.90,https://totalcarerestoration.com/water-damage-restoration/residential/coral-springs/,3,0.32,44.00,0.07,36100000,"[9,33,9,42,9,100,9,9,9,52,52,52]",2026-01-03,"Local pack, Video, Ads bottom, Related searches",commercial,Organic
cast iron pipe repair sleeve,1,1,390,1,2.55,https://totalcarerestoration.com/cast-iron-pipes/,3,0.32,7.00,1,2350000,"[54,66,81,54,100,66,54,54,44,54,44,54]",2025-10-02,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","informational, transactional",People also ask
molds in walls,1,1,170,75,6.32,https://totalcarerestoration.com/tell-mold-behind-walls/,3,0.32,18.00,0.53,12500000,"[0,0,0,0,0,0,0,0,1,100,0,0]",2025-11-05,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,People also ask
can mold grow on sheetrock,2,2,40,9,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,3,0.32,0.00,0.04,463000,"[100,18,18,18,18,18,18,18,36,63,63,36]",2025-12-20,"Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
drainage ventilation,6,6,170,24,7.44,https://totalcarerestoration.com/exploring-advanced-venting-solutions-for-plumbing-drains-what-you-need-to-know/,3,0.32,22.00,0.49,94900000,"[10,1,5,3,0,3,3,3,5,2,3,2]",2025-12-20,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, AI overview","commercial, informational",Organic
cover tarpaulin,1,1,170,39,1.42,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,3,0.32,4.00,0.99,31000000,"[100,22,29,29,35,10,2,66,2,29,29,54]",2025-11-27,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
building restoration companies near me,1,1,210,72,0.00,https://totalcarerestoration.com/how-long-does-property-restoration-take/,3,0.32,0.00,0.03,204000000,"[22,43,22,29,22,29,22,29,29,100,100,54]",2025-12-02,"Local pack, Sitelinks, Ads bottom, People also ask, Related searches",transactional,People also ask
total care restoration,1,1,140,41,6.96,https://totalcarerestoration.com/,3,0.32,20.00,0.11,127000000,"[80,52,80,42,52,66,80,80,80,80,100,80]",2025-12-21,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
tarping services near me,1,1,210,26,13.20,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,3,0.32,39.00,0.96,15500000,"[6,5,3,11,15,35,44,44,66,100,100,54]",2025-12-01,"Knowledge panel, Sitelinks, Ads bottom, People also ask, Related searches, Ads middle, AI overview",transactional,People also ask
remove smoke and soot damage,1,1,110,30,0.00,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,3,0.32,0.00,0,2420000,"[64,100,78,64,78,78,100,100,50]",2025-12-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
what does mold on drywall look like,1,1,170,13,0.55,https://totalcarerestoration.com/tell-mold-behind-walls/,3,0.32,1.00,0.02,13700000,"[81,53,43,43,34,53,53,53,65,65,100,43]",2025-12-02,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
roof tarping miami,4,4,70,0,0.00,https://totalcarerestoration.com/roof-tarping/,3,0.32,0.00,0.07,333000,"[11,11,11,11,29,23,29,23,64,100,100,100]",2026-01-03,"Local pack, Video, Related searches, AI overview",commercial,Organic
cast iron pipes and fittings,4,4,320,12,0.68,https://totalcarerestoration.com/cast-iron-pipes/,3,0.32,2.00,1,8610000,"[44,100,54,66,54,81,28,44,23,28,54,35]",2025-10-02,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches, Things to know, Explore brands","commercial, informational",Things to know
sewage cleanup services in pembroke,3,3,40,5,0.00,https://totalcarerestoration.com/sewage-cleanup/residential/pembroke-pines/,2,0.21,0.00,0,73600,"[44,33,33,33,44,100,100,44,0]",2026-01-03,"Knowledge panel, AI overview",informational,Organic
mildew on sheetrock,1,1,170,17,1.65,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.21,3.00,0.28,10,"[100,80,80,65,34,42,42,53,80,100,100,53]",2025-11-25,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
what does mold on sheetrock look like,4,4,110,23,0.55,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.21,1.00,0.02,3130000,"[34,34,42,34,26,26,34,100,26,80,80,26]",2025-11-23,"Sitelinks, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches",informational,Organic
shrink wrap service,2,2,170,7,3.70,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,2,0.21,7.00,0.15,19900000,"[34,53,53,43,34,28,81,65,53,53,81,81]",2025-11-15,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,People also ask
mould behind drywall,2,2,170,9,5.53,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.21,11.00,0.28,10,"[81,34,53,28,53,21,28,53,100,43,34,43]",2025-11-23,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,Things to know
mould behind drywall,2,2,170,9,5.53,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.21,11.00,0.28,10,"[81,34,53,28,53,21,28,53,100,43,34,43]",2025-11-23,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,People also ask
mold in drywall,1,1,590,20,6.22,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.21,12.00,0.27,14200000,"[100,13,16,79,10,24,8,10,36,10,13,8]",2025-12-04,"Image pack, Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,AI overview
mold in drywall,13,13,590,20,6.22,https://totalcarerestoration.com/tell-mold-behind-walls/,2,0.21,12.00,0.27,14200000,"[100,13,16,79,10,24,8,10,36,10,13,8]",2025-12-04,"Image pack, Sitelinks, Video, Ads bottom, Related searches, AI overview",informational,Organic
shrink wrap for roofs,3,3,110,0,6.59,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,2,0.21,13.00,0.8,297000,"[80,52,42,52,52,52,42,33,66,42,33,42]",2025-12-03,"Image pack, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
city of sunrise flood cleanup,4,4,260,12,0.00,https://totalcarerestoration.com/sunrise-restoration-services/,2,0.21,0.00,0,608000,"[100,2,0,0]",2025-12-23,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
roof tarping miami,1,1,70,0,0.00,https://totalcarerestoration.com/roof-tarping/residential/hialeah/,2,0.21,0.00,0.07,333000,"[11,11,11,11,29,23,29,23,64,100,100,100]",2026-01-03,"Local pack, Video, Related searches, AI overview",commercial,AI overview
mold remediation broward county,6,6,110,6,30.14,https://totalcarerestoration.com/broward-county-restoration-services/,2,0.21,60.00,0.79,33700,"[26,19,19,19,19,26,15,19,11,100,100,100]",2025-11-29,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
home inspection fire damage,2,2,90,17,0.00,https://totalcarerestoration.com/fire-damage-inspection-steps/,2,0.21,0.00,0,38200000,"[11,11,11,11,29,52,52,64,82,100,100,64]",2025-12-22,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
mold remediation weston,3,3,50,2,0.00,https://totalcarerestoration.com/weston-restoration-services/,2,0.21,0.00,0.71,107000,"[5,5,5,5,28,28,5,5,23,28,28,17]",2025-12-07,"Local pack, Sitelinks, Ads bottom, Related searches",commercial,Organic
commercial ozone generator,1,1,480,25,1.74,https://totalcarerestoration.com/ozone-air-treatment-for-mold-and-pathogens/,1,0.1,1.00,1,4790000,"[66,81,66,66,66,100,54,66,54,66,66,66]",2025-10-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
cast iron plumbing repair,2,2,260,9,11.30,https://totalcarerestoration.com/cast-iron-pipes/,1,0.1,11.00,0.5,11900000,"[53,82,53,23,100,66,66,43,28,28,100,100]",2025-10-07,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
mold inspections miami fl,23,0,880,36,19.11,https://totalcarerestoration.com/mold-inspection/,1,0.1,19.00,0.28,712000,"[3,7,4,100,55,55,44,30,2,5,16,44]",2026-01-05,"Local pack, Video, Image, Related searches",commercial,Organic
how to sanitize after toilet overflows,7,7,50,0,0.00,https://totalcarerestoration.com/effective-strategies-for-handling-toilet-overflow-and-preventing-future-incidents/,1,0.1,0.00,0.33,9620000,"[14,23,14,9,19,9,9,9,52,42,33,33]",2026-01-01,"Sitelinks, Video, Related searches, AI overview",informational,Organic
restore personal belongings after smoke,2,2,50,5,0.00,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,1,0.1,0.00,0,159000000,"[22,77,77,55,77,100,55,0]",2025-12-23,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
fort myers hurricane ian repair services companies,10,10,70,0,0.00,https://totalcarerestoration.com/hurricane-ian-tarps-water-damage/,1,0.1,0.00,0,570000,"[41,100,23,52,5,0]",2025-12-30,"Sitelinks, Video, Related searches, AI overview",commercial,Organic
mold remediation pembroke pines fl,10,10,70,3,0.00,https://totalcarerestoration.com/pembroke-pines-restoration-services/,1,0.1,0.00,0.34,229000,"[11,7,7,42,100,42,15,11,15,15,15,15]",2025-12-21,"Knowledge panel, Video, Image, Related searches, AI overview",commercial,Organic
cast iron plumbing,17,17,1000,4,13.78,https://totalcarerestoration.com/cast-iron-pipes/,1,0.1,13.00,0.22,17800000,"[55,55,62,62,62,62,62,62,55,100,100,81]",2025-12-10,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
water damage restoration doral,5,5,50,11,0.00,https://totalcarerestoration.com/total-care-restoration-doral-fl/,1,0.1,0.00,0,205000,"[5,7,7,3,2,4,2,2,2,10,12,4]",2025-11-27,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
water damage pompano beach,13,13,210,12,37.88,https://totalcarerestoration.com/water-damage-restoration/residential/pompano-beach/,1,0.1,37.00,0.11,865000,"[1,1,5,5,5,3,5,6,10,100,8,10]",2026-01-03,"Local pack, Video, Image",commercial,Organic
water restoration miami,8,8,90,18,33.50,https://totalcarerestoration.com/water-damage-restoration/residential/miami/,1,0.1,33.00,0.4,7630000,"[23,23,23,19,100,33,42,52,100,66,33,9]",2025-12-31,"Local pack, Sitelinks, Video, Image, Ads top, Ads bottom, Related searches",commercial,Organic
storm damage cleanup weston,8,8,50,1,0.00,https://totalcarerestoration.com/storm-damage-restoration/commercial/weston/,1,0.1,0.00,0,257000,"[60,100,100,100,100]",2026-01-03,"Local pack, Video",commercial,Organic
water damage cleanup pembroke,4,4,40,5,0.00,https://totalcarerestoration.com/water-damage-restoration/residential/pembroke-pines/,1,0.1,0.00,0,259000,"[57,42,42,42,42,100,100,42,0]",2026-01-04,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
fire damage inspection,15,15,880,30,8.01,https://totalcarerestoration.com/fire-damage-inspection-steps/,1,0.1,8.00,0.22,50300000,"[1,1,1,20,31,52,52,68,84,84,100,52]",2025-12-19,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,Organic
shrink wrapping roofs,4,4,50,3,6.25,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,1,0.1,6.00,0.69,4390000,"[100,100,27,100,18,18,36,36,45,27,36,27]",2025-12-23,"Local pack, Image pack, Video, Ads bottom, Video Carousel, Related searches, AI overview",informational,Organic
cast iron replacement,1,1,50,9,12.38,https://totalcarerestoration.com/cast-iron-pipes/,1,0.1,12.00,0.76,10,"[7,11,11,11,65,7,11,11,7,19,42,53]",2025-11-08,"Local pack, Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
mold testing miami fl,21,21,720,32,19.11,https://totalcarerestoration.com/mold-inspection/,1,0.1,19.00,0.28,954000,"[13,36,7,5,100,66,54,41,7,1,41,0]",2026-01-03,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
miami underwater by 2025,5,5,70,23,0.00,https://totalcarerestoration.com/the-2025-miami-flood-we-thought-about/,1,0.1,0.00,0,10,"[17,23,12,17,17,17,17,12,12,12,12,5]",2025-11-14,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
how do you test for mold in walls,1,1,110,50,1.36,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.1,1.00,0.65,23600000,"[64,64,35,78,64,100,100,78,100,100,78,50]",2025-11-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
slab leak detection parkland fl,6,6,50,0,0.00,https://totalcarerestoration.com/problems/slab-leak-water-damage/parkland/,1,0.1,0.00,0,14700,"[100,100,80,60]",2025-12-26,"Local pack, Sitelinks, Related searches",commercial,Organic
soot removal service,10,10,390,24,26.02,https://totalcarerestoration.com/top-5-soot-cleaning-services/,1,0.1,26.00,0.11,4620000,"[0,2,1,19,36,54,67,81,81,100,81,44]",2025-11-28,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
how to know if there is mold behind drywall,1,1,30,12,1.32,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.1,1.00,0.34,13800000,"[9,9,52,9,9,9,9,9,9,9,9,9]",2025-12-13,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
water remediation process,2,2,590,29,13.23,https://totalcarerestoration.com/water-damage-dry-out-process/,1,0.1,13.00,0.63,36200000,"[44,29,67,15,54,67,100,67,67,36,100,100]",2025-10-09,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, Ads middle, AI overview",informational,Things to know
best cleaner for smoke damage,1,1,30,2,3.90,https://totalcarerestoration.com/7-steps-to-clean-smoke-damaged-items/,1,0.1,3.00,0.48,7,"[9,19,9,14,33,23,23,14,19,9,19,9]",2025-11-19,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",commercial,AI overview
pembroke pines water damage repair,1,1,40,9,0.00,https://totalcarerestoration.com/pembroke-pines-restoration-services/,1,0.1,0.00,0,687000,"[42,71,57,57,57,42,57,100,42]",2025-12-07,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,AI overview
blue tarp cover,2,2,70,10,0.42,https://totalcarerestoration.com/benefits-shrink-wrapping-roof-blue-tarps/,1,0.1,0.00,1,34700000,"[18,100,18,18,18,18,18,100,100,100,100,45]",2025-11-11,"Image pack, Sitelinks, Video, Image, People also ask, Popular products","informational, transactional",People also ask
total restoration,21,21,1000,26,2.65,https://totalcarerestoration.com/,1,0.1,2.00,1,234000000,"[5,24,4,5,7,7,13,8,16,5,13,8]",2025-12-16,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
mold remediation delray beach,5,5,70,2,25.18,https://totalcarerestoration.com/mold-remediation/residential/delray-beach/,1,0.1,25.00,0.61,47500,"[9,9,52,9,52,33,19,9,52,33,66,66]",2025-12-26,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
how do you know if mold is behind drywall,1,1,40,13,1.84,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.1,1.00,0.39,14000000,"[100,100,36,18,18,18,18,18,27,18,18,18]",2025-12-02,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",informational,People also ask
mold detector for walls,1,1,90,29,1.28,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.1,1.00,0.94,9480000,"[100,34,28,21,28,15,21,21,21,21,28,21]",2025-10-23,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
how to tell if there is mold behind drywall,1,1,50,18,1.07,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.1,1.00,0.38,16800000,"[17,23,29,29,23,11,11,23,41,41,64,100]",2025-10-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
does mold grow on drywall,2,2,40,0,0.00,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.1,0.00,0.02,10,"[11,64,11,11,17,11,11,11,11,11,52,52]",2025-11-15,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
how to tell if mold behind shower wall,1,1,30,18,2.05,https://totalcarerestoration.com/tell-mold-behind-walls/,1,0.1,2.00,0.16,25700000,"[57,57,28,28,42,28,28,28,28,100,71,71]",2025-11-29,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
